sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
30,3,3,1,1007,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.573416698725502,0.2854708871557483,-2.142139867755633,2.580328019395347,4.563717155545408,5.938250073636814
31,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.589333610110225,0.28646441455836674,-0.5765377454865213,2.5882686912715434,4.568206484139141,5.968107208714894
32,4,4,0,1008,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.927985266371252,0.3040031796393493,-15.56917286637967,3.049676249258063,4.098374810920431,6.837975946187632
33,4,4,0,1008,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.929428199453131,0.3040921929421876,-5.629609753625629,3.050108633488358,4.098852106363147,6.840616628256067
34,4,4,0,1008,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.934578087547624,0.30440988511675565,-2.3182679304328184,3.0516523627688406,4.1005562794250405,6.850039325609064
35,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.955124117140846,0.30567735204039415,-0.6660420766990258,3.0578194864383916,4.1073659009528924,6.8876012074494914
36,4,4,1,1009,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.927950242056282,0.3040010190194326,-15.793853943506456,3.049725148058582,4.098357064425813,6.837889049868956
37,4,4,1,1009,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.9292093574810645,0.3040786927688407,-5.719257942179267,3.050414194811319,4.098741202427213,6.840073717823204
38,4,4,1,1009,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.933703575141676,0.30435593719733783,-2.362692120321073,3.0528738065136833,4.100112830066973,6.847870413808955
39,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.951639655438712,0.30546239858994273,-0.6874584577707394,3.062692500539547,4.10559475819292,6.878968829743107
0,0,0,0,1000,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2568876450382973,0.20107989084449465,-9.91108873753377,1.9342830108699873,3.077403623867456,4.313941071326365
1,0,0,0,1000,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.25836654187103,0.20117119777494685,-3.366417310333442,1.9352112431627373,3.0778396813077378,4.3165632051503415
2,0,0,0,1000,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.263642844837007,0.2014969561492271,-1.1867439450595478,1.9385227304152521,3.07939652548609,4.325914992051392
3,0,0,0,1000,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.284663302994986,0.20279475696171353,-0.10041415848343238,1.9517124934710197,3.085616045870541,4.363121703828712
4,0,0,1,1001,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.256927071602369,0.2010823250362949,-9.812258761898466,1.934220384106963,3.0774541775504627,4.314022385198236
5,0,0,1,1001,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.258612837858076,0.20118640406254049,-3.327142049322168,1.9348199802544153,3.078155583207459,4.31707108242816
6,0,0,1,1001,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2646263250330527,0.201557676110129,-1.1675637072092515,1.9369598798547867,3.0806592995176323,4.327941754509285
7,0,0,1,1001,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2885703103366883,0.2030359751722941,-0.09173071334887029,1.945495940510665,3.090653880792737,4.371154103058051
8,1,1,0,1002,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.335188444052382,0.2103868137684612,-10.634721638554026,2.424757231522036,4.014058654055996,3.3731782286148855
9,1,1,0,1002,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.337584112835052,0.21053793480119604,-3.6572315477219535,2.425306393377707,4.014457334457838,3.379411833264141
10,1,1,0,1002,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.346126071722904,0.21107676957587307,-1.3345754559344352,2.427266672206088,4.015880870360983,3.4015814558316158
11,1,1,0,1002,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3800780456189563,0.2132184919189924,-0.1791317893144695,2.4350920062173844,4.021569974096774,3.488851479803234
12,1,1,1,1003,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.335117110236753,0.21038231396449633,-10.67189177907319,2.424753796245211,4.0140584386575275,3.3729693588318517
