alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.685855153286323,0.0819021038828902,0.2918738274268241,0.00035246952693380735,-2.2034227775606845,0.0517589674568169,2.745643887267625,0.1682591585101387,4.277230261115173,0.1949047927117576,6.304045621552103,0.2543721344094114,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.38533418487342,0.03503236822960799,0.27316621737869407,0.00017610744622879567,-1.998033844542681,0.029299442336238775,2.685998476587078,0.040747694533019775,3.8855151556583025,0.06000807569347091,5.922022731664308,0.39346209233524254,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=3,,,64,2.0,64.98412698412699,compact_polynomial,3,3.2879168502501464,0.01927007260962842,0.20478851911116097,8.750192273562547e-05,-1.2475332067531595,0.014787748321337358,2.221083523138243,0.07812864166981733,3.6168789159020434,0.10831751440522353,3.7806905186554842,0.02453346530087735,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=4,,,64,2.0,64.98412698412699,compact_polynomial,4,3.2899477141250886,0.020151151530679916,0.20490662938144935,8.652163593620598e-05,-1.2486886249765934,0.013881085282232199,2.154095699781987,0.07415514796367696,3.6330883681554837,0.08538988279598944,3.809567923269577,0.049649148005154665,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=2,,,64,4.0,129.96825396825398,compact_polynomial,2,3.711946163008419,0.02111740042518881,0.23118860714287962,9.243059222664248e-05,-1.5371766555048647,0.01602290919169303,2.5847359638052585,0.005218681994263613,3.7853569606740045,0.1348278681286823,4.498711315893613,0.03260204714610078,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=3,,,64,4.0,129.96825396825398,compact_polynomial,3,3.9740163738042256,0.1278776636161572,0.2476119600419579,0.0005679997930478282,-1.718518133846463,0.08047010391165917,2.460980032277552,0.046212050856441714,3.7658224325966705,0.07636554143190513,5.207412091856577,0.29034734525272377,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=4,,,64,4.0,129.96825396825398,compact_polynomial,4,3.509306271766826,0.016368832094629616,0.21854360694536124,6.0691856805363975e-05,-1.3980632171569887,0.009821395044446833,2.435081179204251,0.04131497474847214,3.797833909991565,0.020265266918089213,4.070282359810549,0.019181934343204716,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,1.0197016950465778,0.005841549119649561,0.06353398629104727,2.751447159804116e-05,0.3025707009537781,0.003979303123194764,0.4993249501656466,0.001080055245649076,1.1676620951662753,0.022069396992511963,1.224937554663567,0.0018955613999289184,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=128|ch=2,,,128,2.0,32.23622047244095,gaussian,,1.0240514168764558,0.007256707978935777,0.0638097208977307,3.37582445841309e-05,0.29948725889799943,0.0048199481285836005,0.507308688515204,0.003258759998036488,1.1759219657511875,0.02240091272952089,1.2249020442077616,0.0028148172124784904,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=128|ch=4,,,128,4.0,64.4724409448819,gaussian,,2.2037833677442746,0.0354112209544511,0.1373130359717,0.00015988817300274013,-0.5075017774079656,0.022832841050284554,1.3667361700979703,0.016688474645520476,2.5634186934737104,0.039907325670289026,2.475283271179562,0.05444470106772839,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=32|ch=1,,,32,1.0,66.03225806451613,gaussian,,6.365893682016707,0.18910879526595423,0.3966272047216438,0.0009088052417705985,-3.353982336743383,0.13611904118849605,4.506386206001452,0.14065669141674597,6.0089899280995045,0.12822966665186353,8.071087214626544,0.3182915745486321,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=32|ch=2,,,32,2.0,132.06451612903226,gaussian,,6.378193588222366,0.18723913580968526,0.39738837806973604,0.0008943333268500691,-3.3623273617996694,0.1340618215385762,4.587445265392542,0.16221359866230806,6.074358949232752,0.23226635030620008,8.00377853091388,0.2186102692068972,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=32|ch=4,,,32,4.0,264.1290322580645,gaussian,,6.651134221440152,0.19398326557953677,0.4143766358241245,0.0009181370659188152,-3.5487478378345143,0.13839753358126544,5.017681662863451,0.22778273340144561,6.465364172182669,0.25210338367371943,8.104841451920427,0.15941333727262794,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=1,,,64,1.0,32.492063492063494,gaussian,,3.26704346337781,0.018483324592074905,0.20348383144494192,8.186208652736838e-05,-1.2331450030305375,0.013661600615445014,2.164830999759652,0.09021006716956557,3.6202740108393447,0.10554828024919159,3.7523152399501805,0.04464499491439452,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.300245318803639,0.0014787061087432336,0.205545730625846,1.4227685193861627e-05,-1.255409298635366,0.0037871310798211688,2.23212748068515,0.03471596779089076,3.6929781820740906,0.1285145053871567,3.7177362257767044,0.1322050025932128,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=4,,,64,4.0,129.96825396825398,gaussian,,5.556521320161071,0.09068352000733437,0.3461634373327128,0.0004533950225113548,-2.7995539289616116,0.07068875322563989,3.5280467214902105,0.0307857280239684,5.035593924459603,0.028472104426966884,7.39215354124327,0.4334504575525247,10,5,True
0.1,savitzky_golay,savgol|w=11|p=2,11,2,,,,,,0.6589073069085133,0.0002928428838121784,0.041030758699669746,7.191415724646223e-07,0.5498388291451297,9.00538692511001e-05,0.2908978979421399,0.00012504810081338883,0.31661869479182264,6.544853518216524e-05,1.0570214140271745,0.0009041874161463328,10,5,True
0.1,savitzky_golay,savgol|w=11|p=3,11,3,,,,,,0.6597273017193834,0.00029330182832070374,0.04108169042524773,7.070240566798478e-07,0.5492837458159825,8.499244273156074e-05,0.2913470088675505,0.00011438235255697076,0.31682718566611073,6.595325936099906e-05,1.0583727154507718,0.0008981112672362382,10,5,True
0.1,savitzky_golay,savgol|w=11|p=5,11,5,,,,,,0.8437850662339288,0.0002606061739031428,0.052543604343595576,3.8217494088801167e-07,0.42355462788926584,3.2499706648826356e-05,0.3713763273512095,0.00018056245452575362,0.39911235881596674,0.0001192071037702157,1.3558954421925828,0.0006803199684868745,10,5,True
0.1,savitzky_golay,savgol|w=21|p=2,21,2,,,,,,0.4930052347454259,0.00018592600745735884,0.030705570601702092,9.222609834855165e-07,0.663050193126891,0.00016354918808856672,0.21972673345352933,5.830337124990475e-05,0.2872314953033138,0.00011527685827935678,0.773285419258835,0.0005682948967820948,10,5,True
0.1,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.49226421674462895,0.00016653133323546237,0.03065965463738989,8.657154109806504e-07,0.6635560113136303,0.00015565246410130146,0.21975659421887062,6.43047467226512e-05,0.28261102348692757,0.00013401302341494315,0.7735142696349596,0.0005489622448803793,10,5,True
0.1,savitzky_golay,savgol|w=21|p=5,21,5,,,,,,0.5964384603002659,0.00020324467788487008,0.03714146080540433,5.13340807340832e-07,0.5925036470523425,6.559638937190344e-05,0.26336395281631664,9.465395817884339e-05,0.28720835937456857,6.948802353470069e-05,0.9565439124374265,0.0006233823382843636,10,5,True
0.1,savitzky_golay,savgol|w=41|p=2,41,2,,,,,,1.032485739367387,0.005289180604345856,0.06431884133251942,2.329963133325375e-05,0.2939553002530374,0.003457262510740012,0.5368529701985267,0.001440248109050518,1.1462814354575432,0.005644891560251955,1.2627728966284881,0.01020108826255935,10,5,True
