sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,1.9907396067266359,0.12426119006096883,0.3161368516497637,0.9677534585785265,1.14159571374348,3.10633948806987
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.0784708780118804,0.12821908377349442,0.3011638344269284,0.9805130129790491,1.161785876781123,3.263276172824039
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.072201507199046,0.12783233167128222,0.29381897657120737,0.9939531402567333,1.158122491202857,3.2485176172614296
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.33404395178655,0.08236372925411231,0.5530741762035175,0.6121861148722525,0.6765706801381116,2.1228518722298744
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.3537929503067347,0.08358303028611955,0.5505714630094907,0.6065872400067477,0.6444622984700542,2.1714019257181136
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.3201848635348326,0.08327849885656473,0.5394568056251346,0.5484052640331303,0.6150690978239401,2.1329805186644935
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.280832080150143,0.08079608838767811,0.5517478717376609,0.5604945364060546,0.6380318131568739,2.0494764533128813
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.373011031993053,0.08576665241749878,0.529314170241503,0.5778749329355517,0.6379405038930681,2.2168830274286644
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.2863503915821843,0.08035329968310179,0.5602744566865322,0.5994506668528023,0.6447007802260305,2.046731978485849
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.3289565184399104,0.08295294771984787,0.5406687992641186,0.5941590953263443,0.634381138552993,2.1314107591454476
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.2598656576532075,0.07864032312812178,0.5672082414848075,0.5837816525490839,0.6424084706873293,2.0020726172989027
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.395020452022954,0.08605761384290456,0.5309577084283006,0.578064925550778,0.6579781464128792,2.2519218204409372
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=1,,,384,2.0,10.689295039164492,compact_polynomial,1,1.379447775260404,0.08509694878499195,0.529901007061476,0.5994850817725671,0.651041264018731,2.2193222846827965
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.2579443420991832,0.07766534758517253,0.5785687490806479,0.5641905492292789,0.6226789797064224,2.0102815265156706
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.2640887536327416,0.07804470288849527,0.5803512205890874,0.5816683283763929,0.6323699920217617,2.0138349684461585
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.2728916520512707,0.08029519873910117,0.5559549244041726,0.5333653034791649,0.5798986479299264,2.0591256602643417
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.2206138612541295,0.0769974666855261,0.5728224100777228,0.521148481719746,0.6116715341816014,1.9554940013025566
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.3251209856832866,0.08277514771695356,0.545731493670991,0.5440069577381846,0.599764508325333,2.1475976915103185
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.1984777870786698,0.07486424027144267,0.5903127953931044,0.5576689203083709,0.5960831464806106,1.9085956292957462
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.2463683453795091,0.07779782615860999,0.5692139955681706,0.5800768633042183,0.594018358608856,1.9927255654974008
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.1520742192692703,0.07191202357216137,0.6042369880719356,0.5523802563768692,0.6120312683052559,1.8171732991369802
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.3157293378696058,0.08116621309455894,0.5576174508212013,0.5504720756211336,0.6347182244713042,2.118382482243877
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=2,,,384,2.0,10.689295039164492,compact_polynomial,2,1.333222415843963,0.08224534605426431,0.5456540462845724,0.5755376793332759,0.6047015938193488,2.1530300491229664
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.2514504221752252,0.07726441367163957,0.580744314966462,0.5656159184378272,0.6376777833575473,1.9929450958091093
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.2736930398013708,0.0786376704774661,0.5771628155374677,0.5732807510415344,0.6158085908915734,2.039365302927544
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.254396458542819,0.0791285045934635,0.5624069264943624,0.5159743902522868,0.5729388859636989,2.031266326006701
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.2092948734936353,0.07628345432611615,0.576783710260665,0.5277164127106918,0.5871195469677807,1.940100074351339
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.3280089143309226,0.08295554537345949,0.5447414746106032,0.5440691944749798,0.6094536000227947,2.1502041881341833
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.1904059598449055,0.07436002465729175,0.5930720658369325,0.5628630797303967,0.6032493170700791,1.8895699147249638
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.2389203966704276,0.07733292810415006,0.5717882522696448,0.5692897401837677,0.5850762557981755,1.984531736828794
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.1734833865430003,0.07324837544593676,0.596882464915869,0.5511339782649888,0.6103155667307485,1.858751199726639
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.277391870738815,0.07880120766594868,0.5705075080314771,0.54521567708716,0.6267596043572231,2.050634593996013
