alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=8,,,192,0.25,2.6793193717277486,compact_polynomial,8,14.322994582881293,0.01800630648180683,0.891961701845292,2.5739014530126056e-08,-3.8930337620130615,0.002172302674844807,7.075299983585383,0.003997307451953432,8.056388040070559,0.010568143715460047,22.370888063642376,0.06773428227024458,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=1,,,192,0.5,5.358638743455497,compact_polynomial,1,6.754529190781497,0.003293856129680705,0.4206405448640457,9.664967781896117e-07,-1.3075459947693304,0.0007357654571631042,3.3885378901764476,0.0007999727083068105,3.965261514558138,0.0044127776962957915,10.47178831341914,0.013586038522512021,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=2,,,192,0.5,5.358638743455497,compact_polynomial,2,8.902117200375995,0.0064070542030010376,0.5543792937913088,1.965784058790084e-07,-2.041173638566528,0.0009624064762404143,4.420297124044109,0.0013291448628289881,5.084075673911512,0.005597097753731851,13.868872805407221,0.025514077637890566,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=3,,,192,0.5,5.358638743455497,compact_polynomial,3,10.067047688495133,0.008724657408523259,0.6269239091429044,8.683632736424433e-08,-2.4391236674497465,0.0011408837220245609,4.986022418318536,0.0018696500853923256,5.708745088801917,0.006201422630220735,15.702662996935157,0.03375738172421527,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=4,,,192,0.5,5.358638743455497,compact_polynomial,4,10.817552018539141,0.0103248571736574,0.6736608546478571,6.472819868524085e-08,-2.6955046615848617,0.001276891842080034,5.352168914048638,0.0022468781409937365,6.116066714722526,0.006707340707930656,16.881716428335398,0.03946267943857493,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=6,,,192,0.5,5.358638743455497,compact_polynomial,6,11.752537103033331,0.012385232529372887,0.731886428742587,5.880956922490383e-08,-3.01490930203024,0.0014717042531397235,5.809859748581069,0.0027313257955513307,6.628072537332754,0.0074838721552622205,18.34842290028617,0.046865134239948536,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.5|degree=8,,,192,0.5,5.358638743455497,compact_polynomial,8,12.327771694441719,0.013680026693071584,0.7677089138581356,5.734440664671036e-08,-3.2114194890368895,0.0016069270260569842,6.092195403597356,0.003039814003788264,6.94531007664879,0.008029667425627234,19.249738401491527,0.05153697656666967,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=1,,,192,0.75,8.037958115183246,compact_polynomial,1,1.668079175373909,0.0010102374331058448,0.10389286607183953,6.455850761642707e-06,0.4299891007100819,0.0003428646135173155,0.8854442245960461,0.0002108882135343235,1.2592987865870264,0.002600373667339443,2.444518897115695,0.0020407533024510496,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=2,,,192,0.75,8.037958115183246,compact_polynomial,2,3.251849703315102,0.0007637262098514778,0.20252135130595933,5.916383901969351e-06,-0.11106380179451421,0.0005473760560571729,1.7163252733650693,0.00046366144191168604,2.1905859718330687,0.004972415829301347,4.896433896711595,0.0017999318614685966,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=3,,,192,0.75,8.037958115183246,compact_polynomial,3,5.446582869043953,0.00152795214380846,0.33919214863403313,1.9591888818457925e-06,-0.860759696442311,0.0006244911615149142,2.761093896163472,0.00035040950675127895,3.2904760789115266,0.004919943893937649,8.39872359447748,0.007222352354121954,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=4,,,192,0.75,8.037958115183246,compact_polynomial,4,6.992023456796446,0.003285057958671768,0.435431224618401,7.927686758592702e-07,-1.3886784918166182,0.000745030073787458,3.5007651464771206,0.0006463384120113605,4.084431244240488,0.005081765377076311,10.84984627432066,0.014196440444947509,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=6,,,192,0.75,8.037958115183246,compact_polynomial,6,8.872174404770139,0.00637660957349293,0.5525145792376918,2.061461451966811e-07,-2.03094450797336,0.0009597656794367531,4.406711058807181,0.0013218617657807363,5.070964145643539,0.005632020154930231,13.820348968791967,0.02542428671343721,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.75|degree=8,,,192,0.75,8.037958115183246,compact_polynomial,8,9.958753125085815,0.008508753853313341,0.620179961409071,9.543945233857692e-08,-2.402128990679258,0.0011241988942947085,4.933916966366255,0.0018176026809848457,5.652133832911379,0.006178946931711213,15.531507922460737,0.03301782743939361,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=1,,,192,1.5,16.07591623036649,compact_polynomial,1,1.287435533692043,0.000647569504486133,0.08018645096237563,4.289779642020263e-06,0.560049782993827,0.00021192277771392727,0.582591596606225,8.43071790392941e-05,0.8661524797139644,0.00042816792245167393,1.9701301612168733,0.0020759829045490096,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=2,,,192,1.5,16.07591623036649,compact_polynomial,2,0.9533803128272934,0.0007318203472713296,0.05937939834164487,3.68133096565421e-06,0.6742183730278019,0.00015202684358630933,0.443371898467041,0.00016674331822751933,0.589826344921167,9.129206685546193e-05,1.4768124517616967,0.002636521039792998,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=3,,,192,1.5,16.07591623036649,compact_polynomial,3,0.9733132288506676,0.0006297277823062494,0.06061696782806497,2.7359255447564337e-06,0.6674492540875989,0.00011095972303987041,0.44398565281651,0.0002520574518547407,0.5997455022185543,6.105858529830598e-05,1.511213265423573,0.0023674084674353097,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=4,,,192,1.5,16.07591623036649,compact_polynomial,4,1.0023939482983777,0.0006183798815270462,0.062427548952043464,2.6237303825598577e-06,0.6575178939461755,0.00010939107470030872,0.45440021948270204,0.0002511407533351888,0.6595520984376806,0.00021959599836868815,1.5398677783619632,0.0024121734699084386,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=6,,,192,1.5,16.07591623036649,compact_polynomial,6,1.2337807155517235,0.0009475817651387268,0.07684291614056629,4.932754551148478e-06,0.5783963638472223,0.00023435456501867327,0.6360702920153685,7.724476233862865e-05,0.9641128354403067,0.0015812234435639355,1.7973565439326655,0.002657563637753031,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1.5|degree=8,,,192,1.5,16.07591623036649,compact_polynomial,8,2.0484719169030243,0.0007908425025956042,0.1275794675140224,5.189525228763107e-06,0.30005662291299623,0.00034221706145937775,1.085927059353337,0.00024923467892972595,1.4763617966895075,0.0030541062355197465,3.0376751985689507,0.001625826869971498,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=1,,,192,1.0,10.717277486910994,compact_polynomial,1,1.9699221510527345,0.0004729671428041289,0.12267634265110931,4.6878615559046104e-07,0.327035440439053,5.172314752679422e-05,0.9340825476813113,0.0002995732181318196,1.0807848298162437,4.0530530333156865e-05,3.0985005944082666,0.0014359156676611367,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=2,,,192,1.0,10.717277486910994,compact_polynomial,2,1.2595594294768304,0.0005464082768106488,0.0784450924059746,2.7911726733279812e-06,0.569631091003252,0.00014632461765205762,0.6117667723785317,6.698226223533138e-05,0.9002675241709186,0.0008987975752097389,1.8902450862146953,0.0018971938392743388,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=3,,,192,1.0,10.717277486910994,compact_polynomial,3,1.7013336473940979,0.001408926249804706,0.10596481222884105,8.276443692209202e-06,0.4186054738464427,0.00042805956257133956,0.9328736104943369,0.0004231330568051835,1.3422124470249899,0.0034563698502890323,2.4514559993549225,0.0024228056342606996,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=4,,,192,1.0,10.717277486910994,compact_polynomial,4,2.989901699194472,0.0006996206172373988,0.1862073584803471,5.1233744458766455e-06,-0.021562429544849902,0.0004659773147769638,1.5730535622829245,0.00036410153705550443,2.0201231188740154,0.0042999541579303345,4.50106190584434,0.001737043293700138,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=6,,,192,1.0,10.717277486910994,compact_polynomial,6,5.354668450006133,0.0015035277092448173,0.3334679141267203,1.8642916192486978e-06,-0.8293566670600423,0.0005996143330974671,2.71305089484881,0.00034032126089449073,3.234336949988112,0.004759926101255669,8.257703034816714,0.007089823168837262,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=1|degree=8,,,192,1.0,10.717277486910994,compact_polynomial,8,7.03254560253837,0.003369288672191777,0.437954548441457,7.513026525789462e-07,-1.4025196151480426,0.0007447186031793123,3.519486054502771,0.0006629567852881796,4.104008548081311,0.005073104752400252,10.914774433822966,0.014500203540788759,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=2|degree=1,,,192,2.0,21.43455497382199,compact_polynomial,1,1.1867922228696037,0.001223950991930805,0.07392304419471792,7.198555499704317e-06,0.5943907829165062,0.0003229638717602135,0.5701234213175393,0.0009275622381371537,0.9382183079042017,0.008989570276493334,1.7357907492261546,0.0017568800177534924,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=2|degree=2,,,192,2.0,21.43455497382199,compact_polynomial,2,1.0006104830059734,0.0007096170009072353,0.06232123982739668,3.709908551191987e-06,0.6580643308336322,0.0001644201215859346,0.444771628695207,0.0001690062366818185,0.6976083649653149,0.00025117040421305576,1.5221348201533975,0.002668305562864532,10,5,True
